timestamp_ms,timestamp,open,high,low,close,volume,quote_asset_volume,last_trade_id,sample_count,open_raw,high_raw,low_raw,close_raw
1774656000000,2026-03-28 00:00:00,1991.37,1992.26,1989.54,1992.26,224.285,446605.125954,16766281685,0,0.0,0.0,0.0,0.0
1774656300000,2026-03-28 00:05:00,1992.26,1992.44,1989.35,1989.61,508.709,1013101.647624,16766463364,0,0.0,0.0,0.0,0.0
1774656600000,2026-03-28 00:10:00,1989.61,1989.88,1988.28,1988.65,204.2869,406280.505877,16766630792,0,0.0,0.0,0.0,0.0
1774656900000,2026-03-28 00:15:00,1988.65,1991.6,1988.65,1989.44,105.129,209190.655279,16766804929,0,0.0,0.0,0.0,0.0
1774657200000,2026-03-28 00:20:00,1989.44,1990.99,1989.32,1990.54,29.700100000000003,59105.837545,16766947997,0,0.0,0.0,0.0,0.0
1774657500000,2026-03-28 00:25:00,1990.54,1991.0,1989.83,1990.99,29.2978,58311.229958,16767083546,0,0.0,0.0,0.0,0.0
1774657800000,2026-03-28 00:30:00,1990.99,1993.46,1990.86,1991.08,217.4481,433204.693778,16767248859,0,0.0,0.0,0.0,0.0
1774658100000,2026-03-28 00:35:00,1991.08,1994.14,1990.92,1993.42,329.3235,656545.07978,16767401499,0,0.0,0.0,0.0,0.0
1774658400000,2026-03-28 00:40:00,1993.42,1993.96,1990.82,1992.76,405.3766,807912.1445139999,16767533426,0,0.0,0.0,0.0,0.0
1774658700000,2026-03-28 00:45:00,1992.76,1992.9,1990.59,1990.59,90.4178,180057.728742,16767658722,0,0.0,0.0,0.0,0.0
1774659000000,2026-03-28 00:50:00,1990.59,1991.71,1990.26,1991.44,240.321,478474.478157,16767783204,0,0.0,0.0,0.0,0.0
1774659300000,2026-03-28 00:55:00,1991.44,1993.39,1990.98,1991.53,555.8819,1107754.0350950002,16767904492,0,0.0,0.0,0.0,0.0
1774659600000,2026-03-28 01:00:00,1991.53,1991.86,1988.65,1990.52,404.3132,804682.813569,16768047289,0,0.0,0.0,0.0,0.0
1774659900000,2026-03-28 01:05:00,1990.52,1991.07,1987.21,1987.63,277.1343,551260.15481,16768179114,0,0.0,0.0,0.0,0.0
1774660200000,2026-03-28 01:10:00,1987.63,1988.38,1984.0,1985.88,578.7527,1149249.079015,16768379971,0,0.0,0.0,0.0,0.0
1774660500000,2026-03-28 01:15:00,1985.88,1988.26,1985.88,1987.85,406.8232,808344.145752,16768528824,0,0.0,0.0,0.0,0.0
1774660800000,2026-03-28 01:20:00,1987.85,1988.68,1987.11,1988.33,65.3001,129802.465525,16768664380,0,0.0,0.0,0.0,0.0
1774661100000,2026-03-28 01:25:00,1988.33,1988.4,1986.29,1987.1,478.68,951016.293922,16768803373,0,0.0,0.0,0.0,0.0
