side,order_index,order_id,owner_account_index,initial_base_amount,remaining_base_amount,price,order_expiry,transaction_time
bid,562947481955348,562947481955348,724216,114.0663,114.0663,1564.93,1785164970339,0
bid,562947481954860,562947481954860,33999,126.2463,126.2463,1564.93,1782746079822,0
bid,562947481954823,562947481954823,363838,30.0,30.0,1564.92,1785164974939,0
bid,562947481955107,562947481955107,90364,35.6518,35.6518,1564.9,1782746072991,0
bid,562947481955528,562947481955528,37359,0.5752,0.5752,1564.86,1785164969148,0
bid,562947481955213,562947481955213,317068,3.7362,3.7362,1564.81,1785164971135,0
bid,562947481955086,562947481955086,281474976624298,145.1294,145.1294,1564.8,1785164972216,0
bid,562947481955359,562947481955359,724216,114.0663,114.0663,1564.79,1785164970286,0
bid,562947481955125,562947481955125,281474976624315,7.131,7.131,1564.75,1785164971487,0
bid,562947481958626,562947481958626,37359,0.5752,0.5752,1564.74,1785164946407,0
bid,562947481955211,562947481955211,317087,2.5146,2.5146,1564.73,1785164971146,0
bid,562947481955437,562947481955437,724216,114.0663,114.0663,1564.72,1785164969534,0
bid,562947481956266,562947481956266,724216,114.0663,114.0663,1564.65,1785164964552,0
bid,562947481954988,562947481954988,713041,1.4372,1.4372,1564.63,1785164973180,0
bid,562947481958681,562947481958681,37359,0.5753,0.5753,1564.62,1785164945777,0
bid,562947481958603,562947481958603,281474976656674,2.5,2.5,1564.62,1785164946579,0
bid,562947481955178,562947481955178,699714,64.9377,64.9377,1564.61,1785164971329,0
bid,562947481955457,562947481955457,651486,0.3195,0.3195,1564.6,1782746070294,0
bid,562947481955049,562947481955049,281474976639642,28.0842,28.0842,1564.56,1782747572489,0
bid,562947481956259,562947481956259,724216,114.0663,114.0663,1564.52,1785164964557,0
bid,562947481954982,562947481954982,68785,4.7938,4.7938,1564.51,1785164973280,0
bid,562947481954994,562947481954994,433672,5.7146,5.7146,1564.48,1785164973157,0
bid,562947481958837,562947481958837,37359,0.5753,0.5753,1564.47,1785164944397,0
bid,562947481954834,562947481954834,405228,25.0,25.0,1564.47,1785164974889,0
